main_activity,clustered,tilt_subsector
distributor,bees,Agriculture & Livestock
distributor,"bells, casting",Iron & Steel
distributor,belt leather,Automotive LDV
distributor,benzoyl peroxide,Construction Buildings
distributor,berth rental,Shipping
distributor,berth sales,Shipping
distributor,bespoke packager,Construction Residential
distributor,beverage additives,Food Related Products
distributor,beverage industries,Food Related Products
distributor,beverages retail,Food Related Products
distributor,beverages wholesale,Food Related Products
distributor,"beverages, concentrates",Food Related Products
distributor,"beverages, powders",Food Related Products
distributor,bicycle accessories,Construction Residential
distributor,bicycle components,Machinery & Equipment
distributor,bicycle covers,Machinery & Equipment
distributor,bicycle frames,The tilt_subsector would be Other Transport
distributor,bicycle parts,Construction Residential
distributor,bicycle saddles,Other Transport
distributor,bijouterie,Other Industry
distributor,billiard accessories,Machinery & Equipment
distributor,billiard tables,Machinery & Equipment
distributor,binding equipment,Machinery & Equipment
distributor,binding machinery,Machinery & Equipment
distributor,biocosmetic products,Agriculture & Livestock
distributor,biomass,Renewable Energy
distributor,biomass energy - production,Renewable Energy
distributor,biotechnology,Food Related Products
distributor,birdseed,Food Related Products
distributor,biscuit factory,Food Related Products
distributor,biscuit-making equipment,Machinery & Equipment
distributor,biscuit-making machinery,Machinery & Equipment
distributor,biscuits,Food Related Products
distributor,blades for cutting machines,Other Industry
distributor,blades for saws,Other Industry
distributor,"blades, industrial",Machinery & Equipment
distributor,blank leather,Automotive LDV
distributor,blanket,Food Related Products
distributor,bmw ac schnitzer used cars,Automotive LDV
distributor,bmw used car,Automotive LDV
distributor,board articles,Food Related Products
distributor,board products,Food Related Products
distributor,boarding - non-ferrous metal,Construction Buildings
distributor,"boarding, metal",Construction Buildings
distributor,boat dealer,Shipping
distributor,boats,Shipping
distributor,boats reseller,Shipping
distributor,bodywork shop,Automotive HDV
distributor,boilerwork,Construction Residential
distributor,bolt,Shipping
distributor,"bolts, fastening",Machinery & Equipment
distributor,bonded warehouses,Construction Buildings
distributor,bonding agents,Oil Energy
distributor,bonsai trees,Agriculture & Livestock
distributor,boring equipment,Machinery & Equipment
distributor,boring machine assistance,Construction Residential
distributor,"boring, plant",Machinery & Equipment
distributor,botanic extracts,Agriculture & Livestock
distributor,bouillon powder,Food Related Products
distributor,brake disks,Automotive HDV
distributor,brakes,Automotive LDV
distributor,brandy,Food Related Products
distributor,brass instruments,Other Metals
distributor,brazing,Construction Buildings
distributor,brazing equipment,Machinery & Equipment
distributor,brazing supplies,Construction Buildings
distributor,bread,Food Related Products
distributor,brewing equipment,Machinery & Equipment
distributor,brewing machinery,Machinery & Equipment
distributor,briefcases,Automotive HDV
distributor,brushing machines,Machinery & Equipment
distributor,building equipment,Construction Buildings
distributor,building machinery,Construction Buildings
distributor,bulk material,Construction Residential
distributor,"bulps, bedding plants",Food Related Products
distributor,bumper,Automotive HDV
distributor,bus,Automotive HDV
distributor,bus accessories,Automotive LDV
distributor,bus seats,Automotive LDV
distributor,bus spare parts,Automotive LDV
distributor,business communication consultants,Other Industry
distributor,business consultancy,Machinery & Equipment
distributor,business gifts,Construction Residential
distributor,business information,Machinery & Equipment
distributor,business trips - organisation,Other Transport
distributor,butcher shop supplies,Food Related Products
distributor,butcher's shop,Agriculture & Livestock
distributor,butchery equipment,Machinery & Equipment
distributor,butchery machinery,Machinery & Equipment
distributor,butterfly valves,Machinery & Equipment
distributor,buying,Agriculture & Livestock
distributor,cable accessories,Machinery & Equipment
distributor,cable car,Automotive LDV
distributor,"cables, telephone",Shipping
distributor,cad development design work,Construction Buildings
distributor,cad/cam manufacturing,Construction Buildings
distributor,cad/cam service,Construction Buildings
distributor,cafés equipment,Food Related Products
distributor,cafés machinery,Machinery & Equipment
distributor,cake,Food Related Products
distributor,cake mixes,Food Related Products
distributor,"cakes, dietetic",Food Related Products
distributor,calibration of measuring instruments,Total Power
distributor,camper van,Automotive LDV
distributor,camper van preparation,Automotive LDV
distributor,campers,Automotive LDV
distributor,camping accessories,Construction Residential
distributor,camping equipment,Automotive LDV
distributor,camping parts,Construction Residential
distributor,camping vehicles,Automotive LDV
distributor,candy floss,Food Related Products
distributor,candy production equipment,Machinery & Equipment
distributor,candy production systems,Machinery & Equipment
distributor,canned vegetable,Food Related Products
distributor,cap,Other Metals
distributor,"caps, plastic",Other Transport
distributor,car,Automotive LDV
distributor,car accessories,Automotive LDV
distributor,car catalyst,Automotive HDV
distributor,car component,Automotive HDV
distributor,car consumables,Automotive HDV
distributor,car filters,Automotive HDV
distributor,car insurance,Automotive LDV
distributor,car lifts for garages,Construction Buildings
distributor,car lubricant,Oil Energy
distributor,car park,Construction Buildings
distributor,car parking system,Construction Buildings
distributor,car parts,Automotive HDV
distributor,car ports,Construction Buildings
distributor,car rental,Automotive HDV
distributor,car seats,Automotive LDV
distributor,car spare part,Automotive HDV
distributor,car tuning equipment,Machinery & Equipment
distributor,car workshop,Automotive LDV
distributor,car-lift,Automotive LDV
distributor,caramel candies,Food Related Products
distributor,caravan fitting,Automotive LDV
distributor,caravans,Construction Residential
distributor,caravans accessories,Construction Residential
distributor,caravans parts,Construction Residential
distributor,carbide-coated drawing rings,Machinery & Equipment
distributor,carbon bows,Automotive LDV
distributor,carbon fuel,Oil Energy
distributor,cardan shafts,Machinery & Equipment
distributor,cardboard - manufacturing machinery,Machinery & Equipment
distributor,cardboard articles for the beverage industry,Food Related Products
distributor,cardboard disposable articles,Other Industry
distributor,cardboard disposable tableware,Other Industry
distributor,cardboard for the packaging industry,Other Industry
distributor,cardboard manufacture,Construction Buildings
distributor,cardboard manufacturing equipment,Machinery & Equipment
distributor,cardboard manufacturing machinery,Machinery & Equipment
distributor,carob flours,Food Related Products
distributor,carpenting,Construction Residential
